INC_Name,INC_ST_Unit,INC_Nbr,Acres,Cause,Start,End,LAT,LONG,Fuels1,State,Unit,Unit_Nbr,Agency,Agency_Nbr,Zone,DispCtr
Kean,AZ-SCA,2341,1300,Lightning/Natural,8/1/20,8/5/20,33.51478,-110.4247,Short Grass (1 foot),AZ,SCA,2341,BIA,1,CWZ,PHC
Bumble Bee,AZ-PHD,1536,2993,Unknown,8/7/20,8/13/20,34.17418,-112.1749,Tall Grass (2.5 feet),AZ,PHD,1536,BLM,2,CWZ,PDC
Winters,AZ-TNF,2398,393,Human,8/8/20,8/15/20,33.54027,-110.6892,Tall Grass (2.5 feet),AZ,TNF,2398,USFS,7,CWZ,PHC
GOLDFIELD,AZ-A4S,1646,1970,Unknown,8/10/20,8/12/20,33.59755,-111.5895,Tall Grass (2.5 feet),AZ,A4S,1646,AZS,5,CWZ,ADC
KLAUS,AZ-CNF,742,4864,Lightning/Natural,8/10/20,8/19/20,31.7552778,-109.1377778,Short Grass (1 foot),AZ,CNF,742,USFS,7,SEZ,TDC
WOOD CANYON,AZ-GID,751,2320,Lightning/Natural,8/12/20,8/18/20,32.3880556,-109.0902778,Short Grass (1 foot),AZ,GID,751,BLM,2,SEZ,TDC
SPUD ROCK,AZ-SAP,755,760,Lightning/Natural,8/13/20,9/11/20,32.2025,-110.5416,Timber (Litter and Understory),AZ,SAP,755,NPS,4,SEZ,TDC
SADDLE,AZ-CNF,769,350,Lightning/Natural,8/15/20,8/22/20,31.49659,-110.6478,Short Grass (1 foot),AZ,CNF,769,USFS,7,SEZ,TDC
Quail,AZ-SCA,2467,2064,Unknown,8/15/20,8/20/20,33.4288889,-110.5238889,Tall Grass (2.5 feet),AZ,SCA,2467,BIA,1,CWZ,PHC
Bull,AZ-TNF,2475,545,Lightning/Natural,8/16/20,8/25/20,34.2052778,-111.5852778,Short Grass (1 foot),AZ,TNF,2475,USFS,7,CWZ,PHC
Gin,AZ-TNF,2481,4849,Lightning/Natural,8/16/20,8/22/20,33.52516,-110.7306,Short Grass (1 foot),AZ,TNF,2481,USFS,7,CWZ,PHC
HIGH CREEK,AZ-A3S,1734,1642,Lightning/Natural,8/16/20,8/20/20,33.1233333,-110.9341667,Tall Grass (2.5 feet),AZ,A3S,1734,AZS,5,SEZ,TDC
ELDER,AZ-GID,779,590,Lightning/Natural,8/16/20,8/22/20,33.14116,-110.9043,Tall Grass (2.5 feet),AZ,GID,779,BLM,2,SEZ,TDC
KROZIER,AZ-GID,780,141,Lightning/Natural,8/16/20,8/19/20,32.97778,-110.9143,Short Grass (1 foot),AZ,GID,780,BLM,2,SEZ,TDC
Ridge,AZ-CRD,1644,3079,Lightning/Natural,8/16/20,9/2/20,35.00769,-113.8785,Chaparral (6 feet),AZ,CRD,1644,BLM,2,CWZ,PDC
WESTRIDGE,AZ-A3S,1757,480,Unknown,8/17/20,8/23/20,32.5266667,-111.08,Short Grass (1 foot),AZ,A3S,1757,AZS,5,SEZ,TDC
Griffin,AZ-TNF,2510,61821,Lightning/Natural,8/17/20,9/6/20,33.58239,-110.7012,Short Grass (1 foot),AZ,TNF,2510,USFS,7,CWZ,PHC
Salt,AZ-TNF,2511,21670,Lightning/Natural,8/17/20,9/7/20,33.55994,-110.9042,Short Grass (1 foot),AZ,TNF,2511,USFS,7,CWZ,PHC
Lofer,AZ-FTA,817,1256,Lightning/Natural,8/18/20,9/22/20,33.7423,-109.7087,Timber (Grass and Understory),AZ,FTA,817,BIA,1,WMZ,SDC
Cow Canyon,AZ-ASF,819,35371,Lightning/Natural,8/18/20,12/4/20,33.55841,-109.0927,Timber (Grass and Understory),AZ,ASF,819,USFS,7,WMZ,SDC
BLACK CANYON,AZ-TCA,787,7897,Lightning/Natural,8/18/20,9/9/20,35.74147,-113.8052,Short Grass (1 foot),AZ,TCA,787,BIA,1,NAZ,WDC
Red Box Well,AZ-SCA,2532,585,Lightning/Natural,8/18/20,8/26/20,33.59,-110.1713889,Short Grass (1 foot),AZ,SCA,2532,BIA,1,CWZ,PHC
