,Months,Number of fires per month
0,1,0.0
1,2,0.0
2,3,0.0
3,4,1.0
4,5,10.0
5,6,15.0
6,7,18.0
7,8,46.0
8,9,3.0
9,10,9.0
10,11,1.0
11,12,0.0
12,Total number of fires,103.0
13,Total number of Acres burned,913054.6
